"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48"
"calm",52.0507434212857,-6.46160632805323,-1.15997597307325,-1.11555206451434,-2.42903062522818,-3.58713784169626,-3.93220912063231,-0.430794692421381,-0.0377892222748242,1.32535236862017,-3.82389241009287,-1.90507588585501,11.9771892279001,-0.665850887444684,-0.0279406462618207,0.871184534271497,1.10037188231321,-0.602979322823983,-2.42023122521337,-3.32925596966101,-2.87812201759527,1.78766255302435,1.40792341048865,0.159448319719284,43.6732679079577,-5.23493253876781,-0.686640590867409,-1.08180461853294,-0.147971869550561,-2.0651508595572,-2.75465544386763,-1.86828032072405,-1.07543456959062,2.95704042674052,1.85539963687514,0.111573784359697,11.9088535609778,-0.780012925349671,-0.686640590867404,-0.126875490952784,-0.147971869550555,-1.60004069422787,-2.75465544386762,-1.57976985516458,-1.07543456959059,3.15816366804988,1.85539963687516,0.2616593343062
"calm",54.8236419732277,-6.5812566743736,-2.37810209457239,0.332966860121847,-3.0518368877739,-3.6216653406737,-4.36249562876596,-0.125347085452677,0.952503397348906,0.896980677359939,-4.26438223123108,-1.47921535875299,14.8478190358755,-0.824842667818579,-1.4540123131508,2.54945049839383,0.696861820394834,-0.576833017874216,-3.42898311462232,-4.24913427202389,-2.03457742006709,2.68612885033094,0.805414466109398,0.538458514782238,46.4841922171679,-5.31701454356886,-2.2692491575316,0.428405304132191,-0.564422927033075,-2.24355348925226,-3.32323866831599,-2.47878821423545,-0.332753465324157,4.39548980488583,1.00846995212948,0.39782304835739,14.719777870188,-0.862094930150723,-2.26924915753159,1.38333443171234,-0.564422927033069,-1.77844332392293,-3.32323866831598,-2.19027774867599,-0.33275346532412,4.59661304619518,1.00846995212949,0.547908598303893
"happy",49.3607107452835,-7.6995190549379,-2.32967267043153,-0.746594265517294,-4.87614261139579,-3.57591513526949,-3.83399772678392,-1.14987878710552,-0.127243985205917,-0.424300969103833,-3.70256117527189,-0.312232855133587,9.61417457937349,-1.40660982523887,-1.43526911974515,2.14862565995949,-0.71173451292174,-1.85519005755119,-1.98093129909421,-4.29073750766427,-1.10446955975766,0.555451328453843,-2.53177146733415,2.35558374880272,41.0838101967273,-6.17427921106782,-2.64719708645242,-0.238805711204895,-1.88451310850947,-3.92558596135687,-2.22441506456368,-3.27352548443735,-0.898500905667099,3.26752724201807,-2.68609317873261,2.46532087182605,9.31939584974732,-1.71935959764969,-2.64719708645241,0.716123416375257,-1.88451310850946,-3.46047579602754,-2.22441506456366,-2.98501501887789,-0.898500905667062,3.46865048332742,-2.68609317873259,2.61540642177255
"happy",54.6342030187968,-6.56761689406319,-1.91786148743546,0.761989860816943,-4.53187201703863,-3.62734209533844,-4.06352740352157,-0.824340881190108,0.885993250842547,-0.256450874752252,-3.76104704553064,-0.331506313562191,14.2608824379775,-0.669793219079408,-1.52571477657614,3.30024218651662,0.242319830007556,-1.76868435581874,-1.88340668161983,-5.42423191644374,-0.798129442305925,1.19066090499984,-2.11915843291805,4.22147043016504,45.8377216257672,-5.21112828447544,-2.56164873162038,0.858528600178703,-0.93276669435837,-4.1423267785616,-1.98915777805263,-3.7689609791294,-0.261515412290846,4.97948964002703,-2.7843824522819,4.08240442118987,14.0733072787872,-0.756208671057301,-2.56164873162038,1.81345772775885,-0.932766694358364,-3.67721661323227,-1.98915777805262,-3.48045051356994,-0.261515412290809,5.18061288133639,-2.78438245228188,4.23248997113637
"happy",53.4931333202595,-7.04089127948691,-2.23593252343351,-1.18818873819495,-4.84997278747485,-3.95331826504887,-4.95307755984312,-1.41939416564316,0.919206629866205,0.953715282402604,-4.59338725952202,-0.060283177153231,13.42262807539,-0.874187249646992,-0.809686419684891,1.92407384276871,-0.410575245766219,-1.04001315474644,-2.55659113761093,-6.3753757048224,-2.28005632753417,1.78753981328314,-3.32050267552671,2.7639735557363,44.9886048879092,-5.54061264681208,-1.91743076549588,-0.456469576560566,-2.02883371079026,-3.66791379998562,-2.7992292040168,-4.74158430535679,-1.82712132232336,5.61623859076956,-2.16326140354168,2.56328694260293,13.2241905409292,-1.08569303339394,-1.91743076549587,0.498459551019586,-2.02883371079025,-3.20280363465629,-2.79922920401678,-4.45307383979733,-1.82712132232333,5.81736183207891,-2.16326140354166,2.71337249254943
"happy",52.2470922912154,-8.03705160101663,-0.575562441564012,-0.141962767195466,-4.61173252296104,-2.80001357268726,-4.10103223785401,-1.26254897030697,0.556310494627659,0.628556129004889,-3.8860712081263,-0.907090529230063,12.1691537352682,-2.13348082091471,0.245238512102847,2.55411233879171,-0.615408881897198,-0.349991518060267,-1.68154713451849,-5.08724208903351,-1.86816903230676,1.19821092576815,-1.32661361937746,2.46060376741446,43.9098447022588,-6.72259491270663,-0.733216549028512,0.621097679585328,-1.85576556451316,-2.77506619860503,-1.83410599205418,-3.82643638834974,-1.16950004853762,4.13928340726484,-1.02306197815837,2.32337888990581,12.1454303552788,-2.2676752992885,-0.733216549028507,1.57602680716548,-1.85576556451316,-2.3099560332757,-1.83410599205417,-3.53792592279028,-1.16950004853758,4.34040664857419,-1.02306197815835,2.47346443985231
"happy",58.5406934728716,-8.34722282362185,-3.47483208118631,-2.51280889883579,-4.73579550997265,-5.55707253351914,-6.026690413731,-1.04080650123226,-2.37674250153614,0.63406879967728,-5.2008506468209,-1.44509944179583,18.9709576900114,-1.93845944774417,-1.82871839180443,0.623368289829258,0.000649936404601296,-1.94451200226361,-4.7113247104975,-3.54135519708025,-4.58277608747452,1.33631852192608,-3.62929136803315,1.6964251150056,50.1568486187917,-7.12968366220807,-3.51573090788077,-2.45782054311302,-2.40827540378375,-4.27322723909936,-6.3548984113745,-2.99238455390535,-4.28033750596254,2.88586317903266,-3.13435772713918,-0.0903773602832211,18.3924342718117,-2.67476404878993,-3.51573090788077,-1.50289141553287,-2.40827540378374,-3.80811707377003,-6.35489841137449,-2.70387408834589,-4.2803375059625,3.08698642034201,-3.13435772713917,0.0597081896632815
"happy",63.7858907540437,-6.80471635625848,-5.15092326458413,-0.789601464088074,-3.5687353609294,-4.98077497691846,-5.30728991595092,-0.632823011490943,-0.42244387859431,0.246868165482363,-6.4193347256151,-1.08325029571247,23.8093404883258,-0.400720773954703,-3.98738787420598,1.45598502554864,0.651308375412783,-2.1867535276058,-3.73995944802654,-4.85904424842959,-3.08106720038846,4.04722189395494,-3.64139015538362,2.84575530549522,54.8555548612224,-5.46705080243429,-5.56037709167374,-1.75179112118082,-1.15877973052747,-4.38079642926038,-4.66948596618502,-3.15602427532415,-3.22599125624216,5.88591427771702,-3.66292130324209,-0.808218668832029,23.0911405142424,-1.01213118901615,-5.56037709167373,-0.796861993600671,-1.15877973052746,-3.91568626393105,-4.66948596618501,-2.86751380976469,-3.22599125624212,6.08703751902637,-3.66292130324207,-0.658133118885526
"happy",66.8186549274563,-8.56521845993667,-2.77094621401862,-1.05574064664325,-4.64824908842432,-3.62169425446832,-5.59998204800035,-1.1652693856448,0.588499453982681,0.434408194609458,-5.255106963448,-0.793875385777072,26.8660345194527,-2.19785034082261,-1.64447545099029,1.66153168680921,-0.0850548310830609,-1.01360954141862,-3.05734283900356,-5.54653885220653,-2.01943602909159,2.76447986388411,-3.61607813726025,3.75191819330595,58.1663828992609,-7.20867821746165,-3.14844550489879,-1.03743291701072,-1.95782435321398,-3.58993207276757,-3.6248340897298,-4.27061994546564,-2.28924747618989,5.74287101872062,-3.77427182982455,1.54711116501003,26.401968552281,-2.75375860404351,-3.14844550489878,-0.0825037894305635,-1.95782435321398,-3.12482190743824,-3.62483408972979,-3.98210947990618,-2.28924747618985,5.94399426002997,-3.77427182982453,1.69719671495653
"happy",65.6858848702891,-8.13493229497722,-2.72000055085134,-1.56586392841941,-5.53394724400231,-4.04866089819744,-5.63782296197229,-1.89435795499787,0.00318925899397054,0.395229392201014,-4.73412060582196,-1.37526673135534,25.8656923255564,-1.73470641975019,-1.13336311164053,1.50639794644231,-0.52560969804127,-1.25452723354178,-2.79770465653845,-5.42123054830692,-3.43136613117743,1.51531323394904,-2.86686707647347,3.93115152085292,57.1655656552182,-6.78051516912138,-2.72049742645858,-1.31224132021868,-2.58938270758764,-4.13918102417928,-3.87259194185978,-4.2867953432918,-3.14812504214051,4.49827201762036,-2.70914186715085,1.58949869799863,25.4011513082383,-2.32559555570324,-2.72049742645858,-0.357312192638531,-2.58938270758763,-3.67407085884995,-3.87259194185976,-3.99828487773234,-3.14812504214047,4.69939525892971,-2.70914186715084,1.73958424794514
"sad",54.1712280696297,-5.85652476259246,-2.36375267332256,0.915074424928419,-5.53317408395602,-4.37128486939992,-5.20380221366621,-2.03205647321211,0.200762415431318,-0.763659529851874,-2.98537643751651,-2.21343785370679,14.076847675383,0.0412027377701591,-1.38388806347515,4.2056114169727,-0.164777318711326,-0.521615463403207,-2.54675833470331,-5.20109166772944,-1.83883777161819,-1.46208211456029,0.938234374735217,-0.140555851259437,45.6915703754204,-4.4074946146598,-2.44142563334106,1.74920165504692,-1.7688514893229,-3.54281297403807,-3.29608672164814,-5.03515928343548,-0.347424678330557,0.636431730769185,0.733915841936336,0.73067518211273,13.9271560284405,0.0474249987583409,-2.44142563334105,2.70413078262707,-1.76885148932289,-3.07770280870874,-3.29608672164813,-4.74664881787602,-0.34742467833052,0.837554972078537,0.733915841936353,0.880760732059233
"sad",49.3270089383298,-6.08462988228188,-2.10884060757073,0.772337083277663,-5.00519609957459,-4.24540117068447,-4.85861660747338,-1.925746615383,-0.0743795178250895,0.591737567784071,-2.60870358032748,-1.91058859324308,9.42588279717558,-0.446371828313404,-1.10145374680194,3.90601011587666,-0.24921670747124,-0.339238543441942,-2.17623103412278,-4.78676199723186,-3.21174409107105,-0.71514832633832,-0.195104641727581,-0.290165318148981,41.1059773629386,-4.87932935768991,-2.05159452842105,1.65799834267708,-1.74315358752077,-3.26588280938468,-3.21036434589645,-4.3618555968508,-1.82129537992253,1.45164451420355,1.2638763580105,0.648592334812472,9.34156301595863,-0.42440974427177,-2.05159452842104,2.61292747025723,-1.74315358752076,-2.80077264405534,-3.21036434589643,-4.07334513129134,-1.82129537992249,1.6527677555129,1.26387635801052,0.798677884758975
"sad",55.3466110655961,-4.28024437398278,-2.97157944032366,1.07046273543759,-5.89442459528961,-4.19506714473506,-5.10956218223675,-2.23626450256433,1.08864968752971,-0.0975758518549967,-3.87775194190686,-2.33553037447088,15.0620806476184,1.51650649237079,-1.5912048113919,4.70959640345588,-0.571222323640935,-0.607452584202103,-2.59779006999624,-6.30633173997151,-2.33058776176594,0.439507204184986,0.305662296288189,0.540706342685282,46.7233289372913,-2.78816346222355,-2.60766796248744,2.1097337139481,-2.17535116694911,-3.82666489909886,-3.02755806323919,-5.25575663765615,-1.0151932864039,2.78327712830297,0.532625377077799,-0.062260304916019,14.9589145903114,1.66675615119458,-2.60766796248744,3.06466284152825,-2.17535116694911,-3.36155473376953,-3.02755806323918,-4.96724617209669,-1.01519328640387,2.98440036961232,0.532625377077816,0.0878252450304836
"sad",50.4702522227209,-6.04177050540281,-1.62617728142957,0.421462267259004,-5.583432018213,-2.96590344590883,-5.01413033425101,-2.80461976617643,1.68256440474219,0.362809650427339,-2.94779700860849,-1.35485704196886,10.2899612379404,-0.335496909167615,-0.502214027094101,3.61510381019489,-0.935457852477806,0.458746583156734,-1.54129314624301,-6.51735125429238,-2.25810992824057,-0.861425769662144,-0.592267134684698,1.25961770511838,42.0123612074669,-4.77222348837976,-1.49361792513333,1.48902502904042,-2.43448505655872,-2.79669961049713,-2.02097046679665,-5.95292789866043,-1.21892453213629,2.62824806627261,0.570170807597385,2.06339087388486,10.2479468604869,-0.317303874961624,-1.49361792513332,2.44395415662057,-2.43448505655871,-2.3315894451678,-2.02097046679664,-5.66441743310097,-1.21892453213626,2.82937130758196,0.570170807597402,2.21347642383136
"sad",50.5346540501556,-6.07109691994613,-0.881079460588949,1.23390508578201,-4.39594631966009,-3.51894466281469,-4.15985512941935,-1.25260405404806,0.559741182384006,-0.81738437713071,-2.89552837319098,-0.989465491254909,10.3769483603461,-0.71791169329408,-0.429202444278918,3.94407675702912,0.0618903390169795,-0.382329896845433,-2.22788991617788,-4.4641007180405,-0.598433088173334,-0.639641667609204,-0.332936419296405,0.736867012705303,42.1380415915261,-5.12382629758939,-1.28665957138729,1.80724628484212,-1.26278159402005,-2.90648307716436,-2.53503381220505,-4.12889191578915,0.326325481945876,1.75915716508723,-0.617272775417312,1.70439241056657,10.3736272445462,-0.668906684171254,-1.28665957138728,2.76217541242227,-1.26278159402004,-2.44137291183502,-2.53503381220503,-3.84038145022969,0.326325481945913,1.96028040639659,-0.617272775417296,1.85447796051307
"sad",59.4095370881925,-6.95066150408755,-2.53589883522736,-0.635013828426163,-5.82714097371404,-5.82681196580093,-5.30767144888702,-2.8289272619863,-0.0930983030194962,0.291656966954966,-4.27039395700381,-1.06919461318415,19.4795896412463,-0.665945119642563,-1.18941952121271,3.08746568923905,0.202883382734078,-2.46722875288245,-1.90368543386679,-6.6630451373419,-2.9410216688177,0.514823786028369,-3.25949176735424,2.69321723431527,50.9509093570892,-5.41202138613983,-2.53833321382385,0.0762365069016367,-1.6713296180231,-5.88004361512773,-3.25989426017542,-5.58219734188636,-2.97340583582759,3.98614031786572,-3.04231568039734,2.63799596816101,19.1864950101093,-0.957101772721697,-2.53833321382384,1.03116563448179,-1.6713296180231,-5.4149334497984,-3.25989426017541,-5.2936868763269,-2.97340583582756,4.18726355917508,-3.04231568039733,2.78808151810752
"sad",59.5459574095385,-6.55818906359399,-2.29574340714961,-0.085101550791403,-6.43128298770902,-5.31330822184307,-6.04973237402775,-2.54158974495456,1.04439848928967,0.0686379157130786,-4.50724764706317,-0.831836792718499,19.2774809103263,-0.290280775516993,-0.968105627885534,3.86966541983109,0.162912234851559,-1.85694716317987,-2.41595618428568,-7.86808482930701,-2.55384551620772,0.307939011443991,-3.16758135614888,2.82943772561813,50.8307765829669,-4.91811169830145,-2.29404050598997,0.832598046757478,-1.9668932221506,-5.70314325744309,-3.51351905062329,-6.67160820473622,-2.14470772616973,4.64973685358264,-2.55118922602188,2.93551752785103,19.0663622359869,-0.463192084883312,-2.29404050598996,1.78752717433763,-1.96689322215059,-5.23803309211376,-3.51351905062328,-6.38309773917676,-2.14470772616969,4.85086009489199,-2.55118922602186,3.08560307779753
"sad",60.4849232448622,-7.52997334665976,-1.84119021470184,-0.574381414689086,-6.66987556217352,-4.22636261778272,-5.40780644188193,-1.8227756917057,0.883381265458327,-0.56500923496851,-4.52786591406629,-1.06763100277554,20.3338886450123,-1.16702725489705,-0.579768647532837,3.1849806443915,-0.759035390125899,-1.9531635284626,-2.5115059148827,-7.00417774187146,-1.5950712021602,0.943606949048483,-2.03042148975219,2.83267624932949,51.8936386358706,-5.8753000237082,-1.94036867299383,0.412700585963268,-2.56710459770995,-5.13941653135866,-2.84412625795283,-5.49523160996504,-1.15712509147722,4.43645400096882,-2.68120866518613,2.56610399771917,20.1292242888907,-1.42038041029006,-1.94036867299382,1.36762971354342,-2.56710459770995,-4.67430636602933,-2.84412625795282,-5.20672114440558,-1.15712509147718,4.63757724227817,-2.68120866518611,2.71618954766568
"angry",62.7262979771177,-9.81561186033303,-2.28203801840715,-0.940028000759027,-5.16390269249666,-3.4374712946469,-3.6098194448013,-2.61183026737785,-1.480642164776,0.364518271040101,-4.16404141027313,-1.41437963859563,23.1905930893196,-3.52632379753099,-1.13879764468954,1.60842791693801,-1.59558846898886,-1.37301034160119,-0.264742794366911,-4.43830635070539,-2.84800387132651,0.886097887487491,-1.62332112279263,1.32569194337304,54.6006737346702,-8.51329841413857,-2.56473001812287,-0.495998103982181,-2.55201832919187,-3.78876908393786,-1.06877184773744,-3.5625715684047,-3.26985474748097,2.29954619764115,-1.69160790370349,0.762041138801182,22.8362593876902,-4.05837880072044,-2.56473001812286,0.458931023597971,-2.55201832919186,-3.32365891860853,-1.06877184773743,-3.27406110284524,-3.26985474748093,2.5006694389505,-1.69160790370347,0.912126688747685
"angry",67.8510194040364,-9.43019012175614,-2.9042069628073,-2.29054096671538,-6.22617798843966,-5.07951153663379,-6.24980254764933,-2.38645529494763,-1.72711800001829,-0.539371841908075,-4.58213142424533,-1.35510797439377,28.3799787535156,-2.97230323730545,-1.12855415344367,1.18667283445736,-1.53115786691224,-1.42440726265981,-3.87248821455158,-5.11642321408124,-3.24994630558539,-0.253031504035227,-2.9634391168054,0.0974462784089069,59.6187494959812,-8.21145087676432,-3.05061059914379,-1.74629514378504,-3.84024578462583,-4.33121461850013,-4.94683305078533,-4.98069553605084,-3.16882053965187,1.47524007549598,-2.67636816295196,-0.410837072137429,27.8543351490012,-3.75653126334619,-3.05061059914379,-0.791366016204886,-3.84024578462582,-3.8661044531708,-4.94683305078532,-4.69218507049137,-3.16882053965183,1.67636331680533,-2.67636816295194,-0.260751522190926
"angry",56.9874162428623,-9.0023786329458,-1.8291285660134,-0.917776274881527,-4.71737056796708,-3.43774607023781,-5.0431147650871,-1.58779538506946,0.607681400017209,-0.929179581990322,-3.67129948050798,-1.21880244850694,17.3037031320574,-2.84124573935085,-0.723598795314927,1.72318650884411,-0.59223892490277,-0.714113070939874,-2.56812650445431,-5.23487405068644,-0.727483869534103,-0.1290436631627,-1.21512322891581,1.34909113278973,48.7955078078931,-7.70324849513249,-2.00500094088477,-0.484594095814589,-2.08543208113324,-3.0859467505013,-2.64979906986131,-4.73174124814511,-0.218307206396644,2.44112492336518,-1.6481220849999,1.40766348991938,17.0310934609132,-3.24832888171435,-2.00500094088477,0.470335031765563,-2.08543208113324,-2.62083658517197,-2.6497990698613,-4.44323078258565,-0.218307206396607,2.64224816467454,-1.64812208499989,1.55774903986588
"angry",61.8932440839477,-9.59014495602142,-2.6312321540579,-1.01286881287232,-5.34030607257283,-2.92143561562376,-4.86697170899259,-1.70102244451631,0.448436095233445,0.084143032590374,-3.06932325295377,-0.723796139497995,22.1829218369314,-3.15086368606688,-1.53938445042375,1.33747559127344,-1.36209156198253,-1.06233582136669,-1.78755797808708,-5.52910402091439,-1.92580917135546,-0.250920096792399,-2.05406572640773,2.71906020350939,53.5736242958383,-8.13985570268419,-2.94302646315348,-0.896317908334677,-2.60899895171752,-3.49933878305268,-2.08423884781083,-4.62005416634275,-1.53818690779418,3.07681992614314,-1.97047190069302,3.13201775957677,21.8092099488583,-3.68493608926605,-2.94302646315347,0.0586112192454752,-2.60899895171751,-3.03422861772334,-2.08423884781082,-4.33154370078329,-1.53818690779415,3.27794316745249,-1.970471900693,3.28210330952327
